@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
3/2006,1034,269,448,10,0.3701,0.6163,0.0138
4/2006,943,243,381,13,0.3815,0.5982,0.0205
5/2006,854,211,350,12,0.3683,0.6109,0.0210
6/2006,886,192,405,9,0.3169,0.6684,0.0149
7/2006,960,203,432,13,0.3133,0.6667,0.0201
8/2006,909,223,376,10,0.3662,0.6175,0.0165
9/2006,878,187,355,11,0.3382,0.6420,0.0199
10/2006,947,253,379,7,0.3960,0.5932,0.0110
11/2006,929,207,395,12,0.3372,0.6434,0.0196
12/2006,926,208,408,7,0.3339,0.6549,0.0113
1/2007,1128,300,456,13,0.3902,0.5930,0.0170
2/2007,1010,250,461,11,0.3463,0.6386,0.0153
3/2007,922,242,386,16,0.3758,0.5994,0.0249
4/2007,920,207,428,13,0.3195,0.6605,0.0201
5/2007,862,235,335,6,0.4080,0.5816,0.0105
6/2007,577,129,255,5,0.3317,0.6556,0.0129
