@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1990,1085,41,807,49,0.0458,0.8997,0.0547
2/1990,1025,40,773,52,0.0463,0.8937,0.0602
3/1990,987,46,735,44,0.0558,0.8910,0.0534
4/1990,865,33,611,53,0.0474,0.8767,0.0761
5/1990,913,42,650,53,0.0564,0.8725,0.0712
6/1990,1006,45,737,56,0.0537,0.8795,0.0669
7/1990,865,49,623,48,0.0681,0.8653,0.0667
8/1990,1170,51,848,61,0.0532,0.8834,0.0636
9/1990,1107,42,818,48,0.0463,0.9009,0.0529
10/1990,1140,47,821,67,0.0503,0.8781,0.0717
11/1990,997,37,759,54,0.0436,0.8930,0.0636
12/1990,995,32,774,48,0.0375,0.9064,0.0563
1/1991,1367,49,1013,64,0.0436,0.8997,0.0569
2/1991,1190,43,851,57,0.0453,0.8949,0.0600
3/1991,1040,42,788,59,0.0473,0.8864,0.0664
4/1991,801,35,595,28,0.0532,0.9043,0.0426
5/1991,833,57,598,51,0.0808,0.8471,0.0723
6/1991,756,35,563,37,0.0552,0.8867,0.0583
7/1991,750,35,547,26,0.0576,0.8997,0.0428
8/1991,784,34,626,37,0.0488,0.8982,0.0531
9/1991,743,27,602,34,0.0408,0.9080,0.0513
10/1991,654,24,507,33,0.0426,0.8990,0.0586
11/1991,707,31,545,35,0.0508,0.8920,0.0573
12/1991,724,39,557,35,0.0619,0.8828,0.0555
1/1992,679,36,533,29,0.0603,0.8914,0.0485
2/1992,737,63,567,34,0.0949,0.8540,0.0513
3/1992,666,26,516,47,0.0442,0.8761,0.0798
4/1992,572,24,443,39,0.0475,0.8755,0.0771
5/1992,580,34,418,45,0.0685,0.8411,0.0906
6/1992,668,36,554,26,0.0585,0.8994,0.0423
7/1992,658,35,523,37,0.0589,0.8790,0.0622
8/1992,635,36,493,39,0.0634,0.8680,0.0687
9/1992,536,21,428,22,0.0446,0.9088,0.0468
10/1992,548,24,432,40,0.0484,0.8710,0.0807
11/1992,528,27,418,39,0.0558,0.8637,0.0806
12/1992,625,28,488,37,0.0507,0.8825,0.0670
1/1993,612,24,502,36,0.0428,0.8933,0.0641
2/1993,575,33,470,33,0.0616,0.8769,0.0616
3/1993,622,32,503,30,0.0567,0.8903,0.0531
4/1993,584,28,475,31,0.0525,0.8896,0.0581
5/1993,602,39,475,32,0.0715,0.8700,0.0587
6/1993,614,37,490,30,0.0665,0.8798,0.0539
7/1993,606,28,468,37,0.0526,0.8781,0.0695
8/1993,583,32,458,33,0.0612,0.8758,0.0631
9/1993,658,35,523,30,0.0596,0.8895,0.0511
10/1993,700,33,560,51,0.0513,0.8696,0.0792
11/1993,617,37,480,37,0.0668,0.8665,0.0668
12/1993,526,26,424,35,0.0537,0.8743,0.0722
1/1994,510,27,415,22,0.0582,0.8944,0.0475
2/1994,560,27,449,23,0.0542,0.8998,0.0461
3/1994,609,16,509,38,0.0285,0.9041,0.0675
4/1994,535,22,426,40,0.0451,0.8730,0.0820
5/1994,568,17,466,36,0.0328,0.8979,0.0694
6/1994,569,20,469,32,0.0384,0.9002,0.0615
7/1994,704,26,557,57,0.0407,0.8704,0.0891
8/1994,617,36,481,54,0.0631,0.8424,0.0946
9/1994,602,25,475,43,0.0461,0.8748,0.0792
10/1994,627,23,505,40,0.0405,0.8891,0.0705
11/1994,559,32,426,42,0.0640,0.8520,0.0840
12/1994,529,25,436,28,0.0512,0.8917,0.0573
1/1995,713,35,560,43,0.0549,0.8778,0.0674
2/1995,616,27,490,29,0.0495,0.8975,0.0532
3/1995,684,45,540,39,0.0722,0.8654,0.0625
4/1995,620,50,464,50,0.0887,0.8227,0.0887
5/1995,682,28,550,30,0.0461,0.9047,0.0494
6/1995,680,32,510,33,0.0557,0.8870,0.0574
7/1995,661,47,485,41,0.0821,0.8465,0.0716
8/1995,600,37,438,41,0.0718,0.8489,0.0795
9/1995,646,45,442,61,0.0822,0.8066,0.1114
10/1995,1118,75,747,53,0.0858,0.8538,0.0606
11/1995,1061,56,714,45,0.0688,0.8761,0.0553
12/1995,1098,57,696,73,0.0691,0.8427,0.0884
1/1996,1021,59,664,45,0.0769,0.8646,0.0586
2/1996,847,55,538,40,0.0869,0.8500,0.0632
3/1996,965,56,624,51,0.0767,0.8537,0.0698
4/1996,959,43,612,62,0.0600,0.8536,0.0865
5/1996,941,51,614,54,0.0710,0.8540,0.0752
6/1996,913,52,583,57,0.0752,0.8425,0.0824
7/1996,1082,94,661,53,0.1164,0.8181,0.0656
8/1996,580,47,416,48,0.0920,0.8141,0.0940
9/1996,625,36,486,39,0.0642,0.8664,0.0696
10/1996,589,34,441,37,0.0665,0.8614,0.0723
11/1996,599,36,444,47,0.0684,0.8426,0.0892
12/1996,635,43,448,50,0.0795,0.8281,0.0925
1/1997,596,33,494,28,0.0595,0.8901,0.0505
2/1997,511,46,385,39,0.0979,0.8192,0.0830
3/1997,650,31,521,48,0.0517,0.8684,0.0800
4/1997,620,41,485,43,0.0721,0.8524,0.0756
5/1997,613,42,463,48,0.0760,0.8373,0.0868
6/1997,611,39,475,41,0.0703,0.8559,0.0739
7/1997,671,51,509,41,0.0849,0.8470,0.0683
8/1997,522,36,385,55,0.0757,0.8089,0.1156
9/1997,659,82,468,63,0.1338,0.7635,0.1028
10/1997,714,49,523,73,0.0760,0.8109,0.1132
11/1997,647,39,511,58,0.0642,0.8405,0.0954
12/1997,671,40,476,79,0.0673,0.8000,0.1328
1/1998,670,41,498,53,0.0693,0.8413,0.0896
2/1998,864,89,610,66,0.1164,0.7974,0.0863
3/1998,678,43,497,58,0.0720,0.8312,0.0970
4/1998,603,33,445,40,0.0638,0.8591,0.0773
5/1998,690,36,532,38,0.0595,0.8779,0.0628
6/1998,747,30,580,49,0.0456,0.8802,0.0744
7/1998,729,46,552,42,0.0719,0.8625,0.0657
8/1998,670,46,473,68,0.0784,0.8058,0.1159
9/1998,672,39,510,45,0.0657,0.8586,0.0758
10/1998,733,33,574,29,0.0519,0.9026,0.0456
11/1998,713,36,545,43,0.0577,0.8734,0.0690
12/1998,671,40,515,47,0.0665,0.8555,0.0781
1/1999,642,34,475,39,0.0621,0.8668,0.0712
2/1999,653,30,500,37,0.0530,0.8819,0.0653
3/1999,832,43,629,61,0.0587,0.8582,0.0833
4/1999,952,48,717,61,0.0582,0.8681,0.0739
5/1999,888,60,661,56,0.0773,0.8508,0.0721
6/1999,893,42,664,65,0.0545,0.8613,0.0844
7/1999,725,56,531,50,0.0880,0.8336,0.0785
8/1999,637,49,458,43,0.0891,0.8328,0.0782
9/1999,715,51,538,43,0.0807,0.8513,0.0681
10/1999,696,37,524,48,0.0608,0.8605,0.0789
11/1999,663,37,510,36,0.0635,0.8748,0.0618
12/1999,691,30,520,48,0.0502,0.8696,0.0803
1/2000,675,32,523,46,0.0533,0.8703,0.0766
2/2000,660,37,499,49,0.0633,0.8530,0.0838
3/2000,721,34,573,35,0.0530,0.8926,0.0546
4/2000,746,39,584,51,0.0579,0.8665,0.0757
5/2000,725,32,553,44,0.0509,0.8792,0.0700
6/2000,694,46,527,47,0.0742,0.8500,0.0759
7/2000,739,46,556,52,0.0704,0.8502,0.0796
8/2000,633,49,468,47,0.0869,0.8298,0.0834
9/2000,960,111,644,98,0.1302,0.7550,0.1149
10/2000,826,50,626,55,0.0684,0.8564,0.0753
11/2000,642,41,475,60,0.0712,0.8247,0.1042
12/2000,658,44,481,43,0.0775,0.8469,0.0758
1/2001,614,45,442,53,0.0834,0.8186,0.0982
2/2001,862,59,658,50,0.0770,0.8579,0.0652
3/2001,1359,97,1021,113,0.0788,0.8295,0.0918
4/2001,1215,92,899,105,0.0840,0.8203,0.0959
5/2001,1471,105,1026,95,0.0857,0.8369,0.0775
6/2001,1216,72,838,75,0.0731,0.8508,0.0762
7/2001,1079,78,724,82,0.0883,0.8191,0.0928
8/2001,955,70,616,66,0.0931,0.8192,0.0878
9/2001,1027,58,716,66,0.0691,0.8524,0.0786
10/2001,1482,79,1065,90,0.0641,0.8631,0.0730
11/2001,1325,81,943,84,0.0732,0.8511,0.0759
12/2001,1343,59,1020,72,0.0513,0.8862,0.0626
1/2002,1045,63,761,53,0.0719,0.8678,0.0605
2/2002,1158,81,855,81,0.0797,0.8408,0.0797
3/2002,1153,64,843,69,0.0656,0.8638,0.0707
4/2002,1220,82,902,74,0.0776,0.8526,0.0700
5/2002,1060,59,754,53,0.0682,0.8707,0.0613
6/2002,1052,52,807,48,0.0574,0.8898,0.0530
7/2002,1108,72,784,68,0.0780,0.8485,0.0736
8/2002,906,52,639,63,0.0690,0.8475,0.0836
9/2002,1081,51,798,56,0.0564,0.8818,0.0619
10/2002,1208,65,868,82,0.0641,0.8552,0.0808
11/2002,1197,50,876,70,0.0503,0.8796,0.0703
12/2002,1080,66,767,59,0.0740,0.8599,0.0662
1/2003,1159,66,806,67,0.0703,0.8584,0.0714
2/2003,1266,54,934,81,0.0506,0.8738,0.0758
3/2003,1805,97,1345,118,0.0622,0.8622,0.0757
4/2003,1728,106,1307,109,0.0697,0.8588,0.0717
5/2003,1268,73,948,93,0.0656,0.8510,0.0835
6/2003,1076,74,788,65,0.0799,0.8501,0.0702
7/2003,1096,66,794,72,0.0709,0.8520,0.0773
8/2003,976,68,691,60,0.0831,0.8438,0.0733
9/2003,986,65,721,64,0.0765,0.8483,0.0753
10/2003,1021,66,725,63,0.0773,0.8490,0.0738
11/2003,985,55,715,49,0.0672,0.8731,0.0599
12/2003,983,39,732,56,0.0472,0.8852,0.0678
1/2004,936,46,683,59,0.0584,0.8668,0.0749
2/2004,960,48,710,61,0.0587,0.8670,0.0745
3/2004,1065,50,792,60,0.0555,0.8781,0.0666
4/2004,1053,62,758,72,0.0696,0.8498,0.0808
5/2004,1126,57,843,76,0.0585,0.8638,0.0779
6/2004,1074,60,783,64,0.0662,0.8633,0.0706
7/2004,1005,66,738,60,0.0764,0.8542,0.0695
8/2004,1088,87,782,84,0.0913,0.8206,0.0882
9/2004,982,38,738,77,0.0446,0.8652,0.0903
10/2004,1036,67,753,66,0.0757,0.8499,0.0745
11/2004,982,72,692,73,0.0861,0.8268,0.0873
12/2004,982,52,703,72,0.0629,0.8501,0.0871
1/2005,1041,61,757,93,0.0670,0.8310,0.1021
2/2005,951,78,668,61,0.0967,0.8278,0.0756
3/2005,1024,83,707,83,0.0951,0.8099,0.0951
4/2005,1003,71,744,56,0.0816,0.8542,0.0643
5/2005,871,51,605,77,0.0696,0.8254,0.1051
6/2005,827,56,579,59,0.0807,0.8343,0.0851
7/2005,915,63,648,65,0.0812,0.8351,0.0838
8/2005,777,43,535,68,0.0666,0.8282,0.1053
9/2005,677,52,454,44,0.0946,0.8255,0.0800
10/2005,791,43,552,67,0.0650,0.8339,0.1013
11/2005,834,58,590,61,0.0819,0.8322,0.0861
12/2005,810,55,565,48,0.0824,0.8459,0.0719
1/2006,739,43,542,64,0.0663,0.8352,0.0987
2/2006,898,76,641,66,0.0971,0.8187,0.0843
3/2006,940,56,715,50,0.0683,0.8709,0.0610
4/2006,812,60,577,58,0.0864,0.8303,0.0835
5/2006,852,58,605,75,0.0786,0.8198,0.1017
6/2006,922,52,685,61,0.0652,0.8584,0.0765
7/2006,1007,62,707,86,0.0726,0.8270,0.1006
8/2006,989,61,718,70,0.0719,0.8458,0.0825
9/2006,890,49,656,59,0.0642,0.8587,0.0773
10/2006,999,68,713,70,0.0800,0.8379,0.0823
11/2006,1041,71,749,89,0.0782,0.8240,0.0980
12/2006,1037,65,744,76,0.0735,0.8407,0.0859
1/2007,964,78,685,82,0.0924,0.8107,0.0971
2/2007,906,65,645,75,0.0829,0.8217,0.0956
3/2007,980,69,687,79,0.0827,0.8228,0.0947
4/2007,890,62,646,66,0.0802,0.8347,0.0853
5/2007,956,62,688,81,0.0747,0.8280,0.0975
6/2007,568,33,402,45,0.0688,0.8375,0.0938
