@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
2/1997,114,18,41,13,0.2500,0.5695,0.1806
3/1997,100,13,39,14,0.1970,0.5910,0.2122
4/1997,123,20,55,12,0.2299,0.6322,0.1380
5/1997,109,22,48,6,0.2895,0.6316,0.0790
6/1997,91,16,36,9,0.2623,0.5902,0.1476
7/1997,111,20,43,9,0.2778,0.5973,0.1250
8/1997,91,13,45,13,0.1831,0.6339,0.1831
9/1997,105,19,31,11,0.3115,0.5082,0.1804
10/1997,93,12,47,9,0.1765,0.6912,0.1324
11/1997,66,14,24,3,0.3415,0.5854,0.0732
12/1997,62,11,20,7,0.2895,0.5264,0.1843
1/1998,96,14,45,4,0.2223,0.7143,0.0635
2/1998,62,8,28,8,0.1819,0.6364,0.1819
3/1998,56,7,21,8,0.1945,0.5834,0.2223
4/1998,86,9,36,4,0.1837,0.7347,0.0817
5/1998,57,6,21,9,0.1667,0.5834,0.2500
6/1998,60,7,27,2,0.1945,0.7500,0.0556
7/1998,80,14,27,8,0.2858,0.5511,0.1633
8/1998,59,4,23,6,0.1213,0.6970,0.1819
9/1998,68,8,25,4,0.2163,0.6757,0.1082
10/1998,87,10,33,8,0.1961,0.6471,0.1569
11/1998,73,10,22,7,0.2565,0.5642,0.1795
12/1998,77,11,24,8,0.2559,0.5582,0.1861
1/1999,67,12,21,8,0.2927,0.5122,0.1952
2/1999,70,6,24,6,0.1667,0.6667,0.1667
3/1999,65,15,17,8,0.3750,0.4250,0.2000
4/1999,96,7,40,6,0.1321,0.7548,0.1133
5/1999,77,9,25,7,0.2196,0.6098,0.1708
6/1999,76,6,32,6,0.1364,0.7273,0.1364
7/1999,84,7,32,7,0.1522,0.6957,0.1522
8/1999,74,11,24,5,0.2750,0.6000,0.1250
9/1999,89,13,27,8,0.2709,0.5625,0.1667
10/1999,82,16,31,6,0.3019,0.5850,0.1133
11/1999,74,17,30,4,0.3334,0.5883,0.0785
12/1999,89,6,26,9,0.1464,0.6342,0.2196
1/2000,78,9,28,9,0.1957,0.6087,0.1957
2/2000,84,14,26,8,0.2917,0.5417,0.1667
3/2000,80,9,26,6,0.2196,0.6342,0.1464
4/2000,78,15,25,7,0.3192,0.5320,0.1490
5/2000,65,6,24,4,0.1765,0.7059,0.1177
6/2000,81,5,30,7,0.1191,0.7143,0.1667
7/2000,81,9,26,7,0.2143,0.6191,0.1667
8/2000,80,14,21,7,0.3334,0.5000,0.1667
9/2000,68,10,24,9,0.2326,0.5582,0.2094
10/2000,86,8,26,12,0.1740,0.5653,0.2609
11/2000,88,8,27,9,0.1819,0.6137,0.2046
12/2000,72,6,23,7,0.1667,0.6389,0.1945
1/2001,72,9,31,3,0.2094,0.7210,0.0698
2/2001,76,5,20,8,0.1516,0.6061,0.2425
3/2001,86,8,34,9,0.1569,0.6667,0.1765
4/2001,84,7,52,3,0.1130,0.8388,0.0484
5/2001,84,10,35,8,0.1887,0.6604,0.1510
6/2001,75,11,31,4,0.2392,0.6740,0.0870
7/2001,69,13,22,7,0.3096,0.5239,0.1667
8/2001,81,10,36,3,0.2041,0.7347,0.0613
9/2001,79,12,31,7,0.2400,0.6200,0.1400
10/2001,59,15,19,6,0.3750,0.4750,0.1500
11/2001,89,12,35,7,0.2223,0.6482,0.1297
12/2001,71,9,32,5,0.1957,0.6957,0.1087
1/2002,104,11,43,11,0.1693,0.6616,0.1693
2/2002,71,9,32,4,0.2000,0.7112,0.0889
3/2002,81,16,36,1,0.3019,0.6793,0.0189
4/2002,85,11,35,7,0.2076,0.6604,0.1321
5/2002,90,13,34,10,0.2281,0.5965,0.1755
6/2002,75,22,25,6,0.4151,0.4717,0.1133
7/2002,73,7,24,4,0.2000,0.6858,0.1143
8/2002,86,20,23,1,0.4546,0.5228,0.0228
9/2002,76,9,32,5,0.1957,0.6957,0.1087
10/2002,114,17,45,11,0.2329,0.6165,0.1507
11/2002,82,11,32,7,0.2200,0.6400,0.1400
12/2002,64,7,30,3,0.1750,0.7500,0.0750
1/2003,94,12,43,7,0.1936,0.6936,0.1130
2/2003,71,5,35,4,0.1137,0.7955,0.0910
3/2003,77,10,33,3,0.2174,0.7174,0.0653
4/2003,82,8,40,7,0.1455,0.7273,0.1273
5/2003,86,18,28,6,0.3462,0.5385,0.1154
6/2003,72,12,29,3,0.2728,0.6591,0.0682
7/2003,81,12,39,1,0.2308,0.7500,0.0193
8/2003,73,14,26,5,0.3112,0.5778,0.1112
9/2003,71,10,27,6,0.2326,0.6280,0.1396
10/2003,101,9,37,10,0.1608,0.6608,0.1786
11/2003,74,10,28,4,0.2381,0.6667,0.0953
12/2003,68,13,22,7,0.3096,0.5239,0.1667
1/2004,90,15,37,6,0.2587,0.6380,0.1035
2/2004,74,13,19,11,0.3024,0.4419,0.2559
3/2004,70,14,18,12,0.3182,0.4091,0.2728
4/2004,97,11,42,9,0.1775,0.6775,0.1452
5/2004,90,11,36,9,0.1965,0.6429,0.1608
6/2004,68,9,28,6,0.2094,0.6512,0.1396
7/2004,71,8,26,3,0.2163,0.7028,0.0811
8/2004,58,12,18,5,0.3429,0.5143,0.1429
9/2004,73,8,28,4,0.2000,0.7000,0.1000
10/2004,56,10,16,4,0.3334,0.5334,0.1334
11/2004,105,18,31,7,0.3215,0.5536,0.1250
12/2004,75,11,30,2,0.2559,0.6977,0.0466
1/2005,56,9,21,5,0.2572,0.6000,0.1429
2/2005,55,11,17,7,0.3143,0.4858,0.2000
3/2005,66,13,22,0,0.3715,0.6286,0.0000
4/2005,58,10,16,11,0.2703,0.4325,0.2973
5/2005,95,11,39,11,0.1804,0.6394,0.1804
6/2005,77,14,21,5,0.3500,0.5250,0.1250
7/2005,64,9,17,4,0.3000,0.5667,0.1334
8/2005,62,9,26,5,0.2250,0.6500,0.1250
9/2005,75,17,22,4,0.3954,0.5117,0.0931
10/2005,64,6,23,8,0.1622,0.6217,0.2163
11/2005,107,14,39,6,0.2373,0.6611,0.1017
12/2005,79,12,25,7,0.2728,0.5682,0.1591
1/2006,54,11,17,4,0.3438,0.5313,0.1250
2/2006,60,8,31,2,0.1952,0.7561,0.0488
3/2006,73,10,27,7,0.2273,0.6137,0.1591
4/2006,53,10,15,3,0.3572,0.5358,0.1072
5/2006,88,17,25,7,0.3470,0.5103,0.1429
6/2006,68,14,27,4,0.3112,0.6000,0.0889
7/2006,52,9,17,6,0.2813,0.5313,0.1875
8/2006,67,12,22,4,0.3158,0.5790,0.1053
9/2006,55,9,23,2,0.2648,0.6765,0.0589
10/2006,54,9,15,10,0.2648,0.4412,0.2942
11/2006,111,22,32,11,0.3385,0.4924,0.1693
12/2006,52,7,18,3,0.2500,0.6429,0.1072
1/2007,51,8,20,5,0.2425,0.6061,0.1516
2/2007,55,6,20,5,0.1936,0.6452,0.1613
3/2007,63,17,19,5,0.4147,0.4635,0.1220
4/2007,50,5,18,5,0.1786,0.6429,0.1786
5/2007,104,19,30,9,0.3276,0.5173,0.1552
6/2007,22,6,7,2,0.4000,0.4667,0.1334
